주성분코드,제품코드
100903ATR,aceclofenac   0.2g
101332ASY,acetaminophen   120g(0.4g/g)
101330ASS,acetaminophen   16g(32mg/mL)
101303ATB,acetaminophen   0.3g
101305ATB,acetaminophen   0.5g
101433ASS,acetaminophen(encapsulated)   16g(32mg/mL)
101401ATB,acetaminophen(encapsulated)   0.16g
101404ATB,acetaminophen(encapsulated)   0.325g
101404ATR,acetaminophen(encapsulated)   0.325g
101406ATB,acetaminophen(encapsulated)   80mg
101430ATR,acetaminophen(encapsulated)   0.65g
110701ATB,aspirin   0.1g
110702ATB,aspirin   0.5g
133801ATB,cinnoxicam   15mg
142331ASY,dexibuprofen   0.6g(12mg/mL)
142332ASY,dexibuprofen   0.9g(12mg/mL)
142333ASY,dexibuprofen   1.2g(12mg/mL)
142334ASY,dexibuprofen   6g(12mg/mL)
142336ASY,dexibuprofen   72mg(12mg/mL)
142337ASY,dexibuprofen   0.144g(12mg/mL)
142301ACS,dexibuprofen   0.3g
142301ATB,dexibuprofen   0.3g
142301ATR,dexibuprofen   0.3g
142302ATB,dexibuprofen   0.15g
142303ATB,dexibuprofen   0.4g
143402ATB,diclofenac potassium   50mg
143504ATB,diclofenac sodium   25mg
143506ATB,diclofenac sodium   50mg
156602ACH,etodolac   0.2g
156602ATB,etodolac   0.2g
156603ATB,etodolac   0.4g
156603ATR,etodolac   0.4g
156604ATR,etodolac   0.6g
172832ASY,ibuprofen   1.5g(20mg/mL)
172833ASY,ibuprofen   1.6g(20mg/mL)
172834ASY,ibuprofen   1.8g(20mg/mL)
172835ASY,ibuprofen   2g(20mg/mL)
172836ASY,ibuprofen   10g(20mg/mL)
172837ASY,ibuprofen   20g(20mg/mL)
172838ASY,ibuprofen   20g(40mg/mL)
172802ACH,ibuprofen   0.2g
172802ACS,ibuprofen   0.2g
172802ATB,ibuprofen   0.2g
172806ATB,ibuprofen   0.4g
172807ATR,ibuprofen   0.6g
173502ATB,imidazole salicylate   0.75g
180001ATB,ketorolac tromethamine   10mg
186101ATB,loxoprofen sodium hydrate (as loxoprofen sodium   60mg)
186102ATR,loxoprofen sodium hydrate (as loxoprofen sodium   90mg)
189001ACH,mefenamic acid   0.25g
189003ATB,mefenamic acid   0.5g
189701ACH,meloxicam   7.5mg
189701ATB,meloxicam   7.5mg
189701ATD,meloxicam   7.5mg
189702ACH,meloxicam   15mg
189702ATD,meloxicam   15mg
198102ATB,nabumetone   0.5g
199401ATR,naproxen   1g
199402ACS,naproxen   0.25g
199404ATB,naproxen   0.5g
199501ATB,naproxen sodium   0.275g
201801ATB,nimesulide   0.1g
214001ACH,piroxicam   10mg
214001ATB,piroxicam   10mg
214004ACH,piroxicam   20mg
214004ATB,piroxicam   20mg
214202ATB,piroxicam β-cyclodextrin (as piroxicam   10mg)
216534ASY,pranoprofen   3.75g (7.5mg/mL)
218602ATB,proglumetacin maleate   0.3g
233201ATB,sulindac   0.1g
233802ATB,sumatriptan succinate (as sumatriptan   50mg)
233803ATB,sumatriptan succinate (as sumatriptan   25mg)
234401ATB,talniflumate   0.37g
238901ATB,tiaprofenic acid   0.2g
242302ATR,tramadol hydrochloride   0.15g(1회/1일)
242304ATR,tramadol hydrochloride   0.2g(1회/1일)
242301ATR,tramadol hydrochloride   0.1g
242305ACH,tramadol hydrochloride   50mg
242305ATB,tramadol hydrochloride   50mg
242308ATR,tramadol hydrochloride   75mg
249901ATB,zaltoprofen   80mg
251800ATB,caffeine anhydrous   0.1g
347701ACH,celecoxib   0.2g
347701ATB,celecoxib   0.2g
347702ACH,celecoxib   0.1g
347702ATB,celecoxib   0.1g
347703ACH,celecoxib   0.4g
348201ATB,bucillamine   0.1g
355501ATB,lornoxicam   8mg
355503ATB,lornoxicam   4mg
415501ATB,naratriptan hydrochloride (as naratriptan   2.5mg)
415601ATB,zolmitriptan   2.5mg
416601ATB,"위령선, 괄루근, 하고초 30% ethanol ext.   0.2g"
458402ATB,morniflumate   0.35g
480600ATB,acetaminophen   0.1625g
513000ATB,acetaminophen   0.325g
513000ATR,acetaminophen   0.325g
514100ATR,acetaminophen   0.65g
493401ATB,pelubiprofen   30mg
493402ATR,pelubiprofen   45mg
499401ATB,almotriptan maleate (as almotriptan   12.5mg)
509501ATB,frovatriptan succinate monohydrate (as frovatriptan   2.5mg)
516701ACH,자오가·우슬·방풍·두충·구척·흑두 dried ext.(20→1)   0.3g
516701ATB,자오가·우슬·방풍·두충·구척·흑두 dried ext.(20→1)   0.3g
518000ATB,esomeprazole magnesium (as esomeprazole   20mg)
523500ATB,esomeprazole strontium tetrahydrate (as esomeprazole   20mg)
527400ATB,esomeprazole   20mg
618201ATB,당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1)   0.4054g
636401ACH,polmacoxib   2mg
636901ATB,etoricoxib   30mg
193201ACR,methylphenidate hydrochloride   10mg
193201ATB,methylphenidate hydrochloride   10mg
193202ACR,methylphenidate hydrochloride   5mg
193202ATB,methylphenidate hydrochloride   5mg
193203ATR,methylphenidate hydrochloride   18mg
193204ATR,methylphenidate hydrochloride   36mg
193205ACR,methylphenidate hydrochloride   20mg
193206ATR,methylphenidate hydrochloride   27mg
193207ACR,methylphenidate hydrochloride   30mg
193208ACR,methylphenidate hydrochloride   40mg
193209ATR,methylphenidate hydrochloride   54mg
193210ACR,methylphenidate hydrochloride   60mg
193211ACR,methylphenidate hydrochloride   50mg
116301ATB,betahistine mesylate   6mg
116302ATB,betahistine mesylate   12mg
550602ATB,betahistine hydrochloride   16mg
550603ATB,betahistine hydrochloride   24mg
105501ATB,alprazolam   1mg
105502ATB,alprazolam   0.25mg
105504ATB,alprazolam   0.4mg
105505ATB,alprazolam   0.5mg
105507ATB,alprazolam   0.125mg
107501ATB,amitriptyline hydrochloride   10mg
107502ATB,amitriptyline hydrochloride   25mg
107504ATB,amitriptyline hydrochloride   5mg
108002ATB,amoxapine   50mg
118501ATB,bromazepam   3mg
120501ATB,buspirone hydrochloride   10mg
120502ATB,buspirone hydrochloride   5mg
120503ATB,buspirone hydrochloride   15mg
131201ATB,chlordiazepoxide hydrochloride   10mg
131202ATB,chlordiazepoxide hydrochloride   5mg
131901ATB,chlorpromazine hydrochloride   0.1g
131905ATB,chlorpromazine hydrochloride   0.2g
131908ATB,chlorpromazine hydrochloride   50mg
135702ATB,clobazam   5mg
136301ACH,clomipramine hydrochloride   10mg
136302ACH,clomipramine hydrochloride   25mg
137302ATB,clotiazepam   5mg
137501ATB,clozapine   0.1g
137502ATB,clozapine   25mg
137503ATB,clozapine   50mg
137504ATB,clozapine   0.2g
142901ATB,diazepam   10mg
142902ATB,diazepam   2mg
142903ATB,diazepam   5mg
156201ATB,ethyl loflazepate   1mg
156202ATB,ethyl loflazepate   2mg
156501ATB,etizolam   1mg
156502ATB,etizolam   0.5mg
156503ATB,etizolam   0.25mg
161501ACH,fluoxetine hydrochloride (as fluoxetine   10mg)
161501ATB,fluoxetine hydrochloride (as fluoxetine   10mg)
161502ACH,fluoxetine hydrochloride (as fluoxetine   20mg)
161502ATB,fluoxetine hydrochloride (as fluoxetine   20mg)
161502ATD,fluoxetine hydrochloride (as fluoxetine   20mg)
162501ATB,fluvoxamine maleate   50mg
162502ATB,fluvoxamine maleate   0.1g
167903ATB,haloperidol   1.5mg
167904ATB,haloperidol   10mg
167905ATB,haloperidol   20mg
167906ATB,haloperidol   3mg
167908ATB,haloperidol   5mg
172130ASY,hydroxyzine hydrochloride   0.2g(2mg/mL)
172101ATB,hydroxyzine hydrochloride   10mg
173701ATB,imipramine hydrochloride   25mg
183301ATB,levomepromazine maleate (as levomepromazine   0.1g)
183302ATB,levomepromazine maleate (as levomepromazine   25mg)
183303ATB,levomepromazine maleate (as levomepromazine   50mg)
184701ATB,lithium carbonate   0.3g
184702ATB,lithium carbonate   0.15g
185501ATB,lorazepam   1mg
185504ATB,lorazepam   0.5mg
196201ATB,mirtazapine   15mg
196201ATD,mirtazapine   15mg
196202ATB,mirtazapine   30mg
196202ATD,mirtazapine   30mg
196204ATB,mirtazapine   7.5mg
196204ATD,mirtazapine   7.5mg
196701ATB,moclobemide   0.15g
203401ATB,nortryptiline hydrochloride (as nortryptiline   10mg)
203402ATB,nortryptiline hydrochloride (as nortryptiline   25mg)
204001ATB,olanzapine   10mg
204001ATD,olanzapine   10mg
204002ATB,olanzapine   5mg
204002ATD,olanzapine   5mg
204004ATB,olanzapine   2.5mg
204005ATB,olanzapine   15mg
209301ATB,paroxetine hydrochloride (as paroxetine   10mg)
209302ATB,paroxetine hydrochloride (as paroxetine   20mg)
209304ATR,paroxetine hydrochloride (as paroxetine   12.5mg)
209305ATR,paroxetine hydrochloride (as paroxetine   25mg)
211401ATB,perphenazine   4mg
212401ATB,pimozide   1mg
212402ATB,pimozide   4mg
224201ATB,risperidone   1mg
224201ATD,risperidone   1mg
224202ATB,risperidone   2mg
224202ATD,risperidone   2mg
224203ATB,risperidone   3mg
224204ATB,risperidone   0.5mg
227001ATB,sertraline hydrochloride (as sertraline   50mg)
227002ATB,sertraline hydrochloride (as sertraline   0.1g)
227003ATB,sertraline hydrochloride (as sertraline   25mg)
229601ATB,sodium tianeptine   12.5mg
233401ATB,sulpiride   0.2g
242901ACH,trazodone hydrochloride   25mg
242901ATB,trazodone hydrochloride   25mg
242902ATB,trazodone hydrochloride   50mg
242903ATR,trazodone hydrochloride   75mg
247502ACR,venlafaxine hydrochloride (as venlafaxine   75mg)
247504ACR,venlafaxine hydrochloride (as venlafaxine   37.5mg)
250801ATB,zotepin   0.1g
250802ATB,zotepin   25mg
250803ATB,zotepin   50mg
255800ATB,chlordiazepoxide   5mg
355801ACH,milnacipran hydrochloride   25mg
355802ACH,milnacipran hydrochloride   50mg
355803ACH,milnacipran hydrochloride   12.5mg
378601ATB,quetiapine fumarate (as quetiapine   25mg)
378602ATB,quetiapine fumarate (as quetiapine   0.1g)
378603ATB,quetiapine fumarate (as quetiapine   0.2g)
378604ATB,quetiapine fumarate (as quetiapine   0.3g)
378605ATB,quetiapine fumarate (as quetiapine   50mg)
378605ATR,quetiapine fumarate (as quetiapine   50mg)
378606ATR,quetiapine fumarate (as quetiapine   0.2g)
378607ATR,quetiapine fumarate (as quetiapine   0.3g)
378608ATR,quetiapine fumarate (as quetiapine   0.4g)
378609ATR,quetiapine fumarate (as quetiapine   0.15g)
378610ATB,quetiapine fumarate (as quetiapine   12.5mg)
420002ATB,amisulpride   0.4g
420003ATB,amisulpride   0.1g
420004ATB,amisulpride   0.2g
428101ATB,bupropion hydrochloride   0.1g
428102ATR,bupropion hydrochloride   0.15g
428103ATR,bupropion hydrochloride   0.3g
428301ATB,citalopram hydrobromide (as citalopram   20mg)
451501ATB,aripiprazole   10mg
451501ATD,aripiprazole   10mg
451502ATB,aripiprazole   15mg
451502ATD,aripiprazole   15mg
451503ATB,aripiprazole   5mg
451504ATB,aripiprazole   2mg
451505ATB,aripiprazole   30mg
464901ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   20mg)
464902ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   40mg)
464903ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   60mg)
464904ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   80mg)
474801ATB,escitalopram oxalate (as escitalopram   5mg)
474802ATB,escitalopram oxalate (as escitalopram   10mg)
474803ATB,escitalopram oxalate (as escitalopram   20mg)
474804ATB,escitalopram oxalate (as escitalopram   15mg)
484401ATB,tandospirone citrate   5mg
484402ATB,tandospirone citrate   10mg
495501ACE,duloxetine hydrochloride (as duloxetine   30mg)
495501ATE,duloxetine hydrochloride (as duloxetine   30mg)
495502ACE,duloxetine hydrochloride (as duloxetine   60mg)
495502ATE,duloxetine hydrochloride (as duloxetine   60mg)
503201ATR,paliperidone   3mg
503202ATR,paliperidone   6mg
503203ATR,paliperidone   9mg
511301ATB,blonanserin   2mg
511302ATB,blonanserin   4mg
511303ATB,blonanserin   8mg
613101ATB,agomelatine   25mg
626401ATR,desvenlafaxine succinate monohydrate (as desvenlafaxine   50mg)
626402ATR,desvenlafaxine succinate monohydrate (as desvenlafaxine   100mg)
628501ATB,vortioxetine hydrobromide (as vortioxetine   5mg)
628502ATB,vortioxetine hydrobromide (as vortioxetine   10mg)
628503ATB,vortioxetine hydrobromide (as vortioxetine   15mg)
628504ATB,vortioxetine hydrobromide (as vortioxetine   20mg)
100501ATE,acamprosate   0.333g
104101ATB,afloqualone   20mg
106201ATB,amantadine sulfate   0.1g
116001ATB,benztropine mesylate   1mg
116002ATB,benztropine mesylate   2mg
136505ATR,clonidine hydrochloride   0.1mg
138103ASY,choline alfoscerate   0.4g(40mg/mL)
138104ASY,choline alfoscerate   0.4g(50mg/mL)
138101ACH,choline alfoscerate   0.4g
138101ACS,choline alfoscerate   0.4g
138101APD,choline alfoscerate   0.4g
138101ATB,choline alfoscerate   0.4g
148601ATB,donepezil hydrochloride   10mg
148601ATD,donepezil hydrochloride   10mg
148602ATB,donepezil hydrochloride   5mg
148602ATD,donepezil hydrochloride   5mg
148603ATB,donepezil hydrochloride   23mg
149901ATB,St. John's Wort 50% ethanol ext. (as hypericin   50μg)
172601ATB,St. John's Wort 80% methanol ext.   0.3g
190031ALQ,memantine hydrochloride (as memantine   0.4155g(8.31mg/g))
190001ATB,memantine hydrochloride (as memantine   8.31mg)
190003ATD,memantine hydrochloride   10mg
190004ATB,memantine hydrochloride   5mg
190004ATD,memantine hydrochloride   5mg
205303ATB,orphenadrine hydrochloride   25mg
206530ASY,oxiracetam   0.8g(0.16g/mL)
206533ASY,oxiracetam   80g(0.16g/mL)
206503ATB,oxiracetam   0.8g
206504ATB,oxiracetam   0.4g
218401ATB,procyclidine hydrochloride   5mg
224001ATB,riluzole   50mg
224501ACH,rivastigmine tartrate (as rivastigmine   1.5mg)
224503ACH,rivastigmine tartrate (as rivastigmine   3mg)
224504ACH,rivastigmine tartrate (as rivastigmine   4.5mg)
224505ACH,rivastigmine tartrate (as rivastigmine   6mg)
224901ATB,ropinirole hydrochloride (as ropinirole   1mg)
224902ATB,ropinirole hydrochloride (as ropinirole   2mg)
224902ATR,ropinirole hydrochloride (as ropinirole   2mg)
224903ATB,ropinirole hydrochloride (as ropinirole   0.25mg)
224904ATB,ropinirole hydrochloride (as ropinirole   5mg)
224905ATR,ropinirole hydrochloride (as ropinirole   4mg)
224906ATR,ropinirole hydrochloride (as ropinirole   8mg)
226401ATB,selegiline hydrochloride   5mg
244201ATB,trihexyphenidyl hydrochloride   2mg
256000ACR,benserazide hydrochloride (as benserazide   25mg)
256000ATB,benserazide hydrochloride (as benserazide   25mg)
256000ATD,benserazide hydrochloride (as benserazide   25mg)
256200ATB,benserazide hydrochloride (as benserazide   50mg)
256300ATB,carbidopa hydrate (as carbidopa   25mg)
256400ATB,carbidopa hydrate (as carbidopa   25mg)
256500ATR,carbidopa hydrate (as carbidopa   50mg)
385203ACR,galantamine hydrobromide (as galantamine   24mg)
385203ATR,galantamine hydrobromide (as galantamine   24mg)
385204ACR,galantamine hydrobromide (as galantamine   8mg)
385204ATR,galantamine hydrobromide (as galantamine   8mg)
385205ACR,galantamine hydrobromide (as galantamine   16mg)
385205ATR,galantamine hydrobromide (as galantamine   16mg)
402501ATB,pramipexole dihydrochloride   0.125mg
402502ATB,pramipexole dihydrochloride   0.25mg
402503ATB,pramipexole dihydrochloride   0.5mg
402504ATB,pramipexole dihydrochloride   1mg
402505ATR,pramipexole dihydrochloride   0.375mg
402506ATR,pramipexole dihydrochloride   0.75mg
402507ATR,pramipexole dihydrochloride   1.5mg
439201ATB,entacapone   0.2g
439502ATB,modafinil   0.2g
468300ATB,carbidopa monohydrate (as carbidopa   25mg)
468400ATB,carbidopa monohydrate (as carbidopa   12.5mg)
468900ATB,carbidopa monohydrate (as carbidopa   37.5mg)
499900ATB,carbidopa monohydrate (as carbidopa   50mg)
507200ATB,carbidopa monohydrate (as carbidopa   18.75mg)
507300ATB,carbidopa monohydrate (as carbidopa   31.25mg)
480401ACH,pregabalin   75mg
480401ATB,pregabalin   75mg
480402ACH,pregabalin   0.15g
480402ATB,pregabalin   0.15g
480402ATR,pregabalin   0.15g
480403ACH,pregabalin   0.3g
480403ATR,pregabalin   0.3g
480404ACH,pregabalin   0.1g
480405ACH,pregabalin   25mg
480405ATB,pregabalin   25mg
480406ACH,pregabalin   50mg
480406ATB,pregabalin   50mg
480407ATR,pregabalin   0.165g
480408ATR,pregabalin   0.33g
480409ATR,pregabalin   82.5mg
489631ASY,atomoxetine hydrochloride (as atomoxetine   0.4g(4mg/mL))
489601ACH,atomoxetine hydrochloride (as atomoxetine   10mg)
489602ACH,atomoxetine hydrochloride (as atomoxetine   18mg)
489603ACH,atomoxetine hydrochloride (as atomoxetine   25mg)
489604ACH,atomoxetine hydrochloride (as atomoxetine   40mg)
489605ACH,atomoxetine hydrochloride (as atomoxetine   60mg)
489606ACH,atomoxetine hydrochloride (as atomoxetine   80mg)
615201ACH,fingolimod hydrochloride (as fingolimod   0.5mg)
624701ATB,Teriflunomide   14mg
625201ATB,rasagiline mesylate (as rasagiline   1mg)
625202ATB,rasagiline mesylate (as rasagiline   0.5mg)
643401ATD,donepezil   4.56mg
643402ATD,donepezil   9.12mg
648901ACH,dimethyl fumarate   0.12g
648902ACH,dimethyl fumarate   0.24g
662301ATB,armodafinil   0.15g
662302ATB,armodafinil   0.25g
113501ATB,baclofen   10mg
113502ATB,baclofen   20mg
113504ATB,baclofen   5mg
131701ATB,chlorphenesin carbamate   0.125g
131702ATB,chlorphenesin carbamate   0.25g
138701ATB,cyclobenzaprine hydrochloride   10mg
138702ACR,cyclobenzaprine hydrochloride   15mg
138703ACR,cyclobenzaprine hydrochloride   30mg
140401ACH,dantrolene sodium   25mg
152301ATB,eperisone hydrochloride   50mg
152302ATR,eperisone hydrochloride   75mg
192001ATB,methocarbamol   0.25g
192003ATB,methocarbamol   0.5g
192004ATB,methocarbamol   0.75g
205203ATR,orphenadrine citrate   50mg
217601ATB,pridinol mesylate   2mg
240701ATB,tizanidine hydrochloride (as tizanidine   1mg)
102502ATB,aclatonium napadisilate   50mg
116902ATB,bethanechol chloride   25mg
116904ATB,bethanechol chloride   10mg
203801ATB,octylonium bromide   20mg
203802ATB,octylonium bromide   40mg
207001ATB,oxybutynin chloride   5mg
207001ATR,oxybutynin chloride   5mg
207005ATR,oxybutynin chloride   10mg
221401ATB,pyridostigmine bromide   60mg
241201ATB,tofisopam   50mg
133501ATB,cimetropium bromide   50mg
158001ACH,fenoverine   0.1g
172301ATB,hyoscine butylbromide   10mg
212130ALQ,phloroglucinol   4g(8mg/mL)
212101ATL,phloroglucinol  hydrate   80mg
212103ATL,phloroglucinol   0.124476g
240301ACH,tiropramide hydrochloride   0.1g
240301ATB,tiropramide hydrochloride   0.1g
257900ATB,phloroglucinol   80mg
660901ACS,tafamidis meglumine (as tafamidis   12.2mg)
114901ATB,bendazac lysine dihydrate   0.25g
114902ATB,bendazac lysine dihydrate   0.5g
191701ATB,methazolamide   50mg
246603ACS,bilberry fruit dried ext.   0.17g
246603ATB,bilberry fruit dried ext.   0.17g
212301ATB,pilocarpine hydrochloride   5mg
130501ATB,cetirizine dihydrochloride   10mg
131801ATB,chlorpheniramine maleate   2mg
135201ATB,clemastine fumarate (as clemastine   1mg)
150630ALQ,ebastine   0.5g(1mg/mL)
150601ATB,ebastine   10mg
151301ACR,emedastine fumarate   1mg
151302ACR,emedastine fumarate   2mg
185430ASY,loratadine   5mg(1mg/mL)
185431ASY,loratadine   0.1g(1mg/mL)
185401ACS,loratadine   10mg
185401ATB,loratadine   10mg
190532ASY,mequitazine   0.25g(0.5mg/mL)
190502ATB,mequitazine   5mg
206201ATB,oxatomide   30mg
213301ATB,piprinhydrinate   3mg
259900ACH,cetirizine dihydrochloride   5mg
259900ATB,cetirizine dihydrochloride   5mg
260100ACR,ebastine   10mg
347901ATB,fexofenadine hydrochloride   0.12g
347902ATB,fexofenadine hydrochloride   0.18g
347903ATB,fexofenadine hydrochloride   30mg
355901ATB,mizolastine   10mg
395400ATB,fexofenadine hydrochloride   60mg
453901ATB,bepotastine besilate   5mg
453902ATB,bepotastine besilate   10mg
463631ALQ,levocetirizine dihydrochloride   5mg(0.5mg/mL)
463632ALQ,levocetirizine dihydrochloride   25mg(0.5mg/mL)
463633ALQ,levocetirizine dihydrochloride   37.5mg(0.5mg/mL)
463634ALQ,levocetirizine dihydrochloride   50mg(0.5mg/mL)
463635ALQ,levocetirizine dihydrochloride   0.1g(0.5mg/mL)
463637ALQ,levocetirizine dihydrochloride   0.25g(0.5mg/mL)
463601ATB,levocetirizine dihydrochloride   5mg
508801ATD,bepotastine calcium dihydrate (as bepotastine   7.11mg)
521601ATB,bepotastine salicylate (as bepotastine   7.11mg)
521602ATR,bepotastine salicylate (as bepotastine   14.22mg)
524800ATB,levocetirizine dihydrochloride   2.5mg
530800ASY,chlorpheniramine maleate   0.2g(0.4mg/mL)
530900ASY,chlorpheniramine maleate   0.4g(0.4mg/mL)
531100ASY,pseudoephedrine hydrochloride   0.45g(6mg/mL)
531500ASY,pseudoephedrine hydrochloride   3g(6mg/mL)
531300ASY,pseudoephedrine hydrochloride   0.54g(6mg/mL)
551501ATB,desloratadine   5mg
639501ATB,bepotastine nicotinate (as bepotastine   7.11mg)
659601ATB,rupatadine fumarate (as rupatadine   10mg)
112401ATB,azathioprine   50mg
112402ATB,azathioprine   25mg
139201ACS,cyclosporine   0.1g
139204ACS,cyclosporine   25mg
186701ACH,standardized lyophilized mixed bacterial lysates 20mg (as lyophilized bacterial lysates   3.5mg)
186702ACH,standardized lyophilized mixed bacterial lysates 40mg (as lyophilized bacterial lysates   7mg)
194730ALQ,microemulsion cyclosporine   5g(0.1g/mL)
194701ACS,microemulsion cyclosporine   0.1g
194702ACS,microemulsion cyclosporine   25mg
196601ATB,mizoribine   25mg
196602ATB,mizoribine   50mg
197830ASS,mycophenolate mofetil   34.98g/174.9mL(0.2g/mL)
197801ACH,mycophenolate mofetil   0.25g
197802ATB,mycophenolate mofetil   0.5g
234201ACH,tacrolimus hydrate (as tacrolimus   0.5mg)
234201ATB,tacrolimus hydrate (as tacrolimus   0.5mg)
234203ACH,tacrolimus hydrate (as tacrolimus   1mg)
234203ATB,tacrolimus hydrate (as tacrolimus   1mg)
234204ACH,tacrolimus hydrate (as tacrolimus   0.25mg)
234204ATB,tacrolimus hydrate (as tacrolimus   0.25mg)
234205ACR,tacrolimus hydrate (as tacrolimus   0.5mg)
234206ACR,tacrolimus hydrate (as tacrolimus   1mg)
234207ACR,tacrolimus hydrate (as tacrolimus   5mg)
234208ATB,tacrolimus hydrate (as tacrolimus   2mg)
235101ACH,standardized lyophilized bacterial lysates of E.coli 60mg (as lyophilized bacterial lysates   6mg)
434601ATB,leflunomide   10mg
434602ATB,leflunomide   20mg
451401ATE,mycophenolate sodium (as mycophenolic acid   0.18g)
451402ATE,mycophenolate sodium (as mycophenolic acid   0.36g)
485501ATB,sirolimus   1mg
485502ATB,sirolimus   2mg
485503ATB,sirolimus   0.5mg
485601ATB,everolimus   0.25mg
485602ATB,everolimus   0.5mg
485603ATB,everolimus   0.75mg
485604ATB,everolimus   1mg
627201ATB,tofacitinib citrate (as tofacitinib   5mg)
627202ATB,tofacitinib citrate (as tofacitinib   10mg)
667901ATB,baricitinib   2mg
667902ATB,baricitinib   4mg
112501ATB,azelastine hydrochloride   1mg
152501ATB,epinastine hydrochloride   10mg
152502ATB,epinastine hydrochloride   20mg
209631ASY,pemirolast potassium   0.5g(5mg/g)
209602ATB,pemirolast potassium   5mg
209603ATB,pemirolast potassium   10mg
216430ASY,pranlukast hydrate   50mg(0.1g/g)
216431ASY,pranlukast hydrate   70mg(0.1g/g)
216432ASY,pranlukast hydrate   0.1g(0.1g/g)
216433ASY,pranlukast hydrate   10g(0.1g/g)
216401ACH,pranlukast hydrate   0.1125g
216402ASS,pranlukast hydrate   0.1g
216403ACH,pranlukast hydrate   0.1125g/회
216404ATB,pranlukast hydrate   75mg
216405ASS,pranlukast hydrate   50mg
216406ASS,pranlukast hydrate   70mg
216407ASS,pranlukast hydrate   0.14g
216408ATB,pranlukast hydrate   50mg
